Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
10/18/2019,87.87550354,119.0003891,164.7069855,27.78899384,62.22050095,114.8026886,106.8286743,185.8500061,29.34884453,106.4155807
10/21/2019,89.28299713,120.3842316,164.8111877,27.81387711,62.2140007,115.0903854,109.4781265,189.7599945,29.34884453,107.8740845
10/22/2019,88.28649902,121.7134552,165.8718414,28.14981079,62.06000137,116.1511993,110.5769043,182.3399963,29.3246994,110.6823425
10/23/2019,88.10849762,123.2156067,165.7298279,28.39864731,62.88150024,116.7805252,110.8692932,186.1499939,29.59837914,111.4252014
10/24/2019,89.03900146,121.8590927,162.9928741,28.72835541,62.95550156,114.6229019,110.789566,186.3800049,29.29249382,113.0467453
10/25/2019,88.0664978,127.212326,163.9399109,28.54794884,63.21500015,115.3870621,111.6756668,187.8899994,29.59837914,111.6516571
10/28/2019,88.85399628,127.5127716,164.1672058,28.36754036,64.4489975,116.1332245,112.1009979,189.3999939,30.00891113,111.8600235
10/29/2019,88.13549805,128.6690369,164.8869476,28.52928925,63.03300095,116.0792618,112.0301056,189.3099976,30.75753212,111.9687271
10/30/2019,88.99949646,127.7676773,164.6123047,29.02696419,63.03499985,119.4235916,111.4098358,188.25,30.97486687,113.1826248
10/31/2019,88.83300018,125.4552231,164.9153442,28.29911423,62.93999863,118.7043533,110.6920853,191.6499939,30.88632202,112.7931137
11/1/2019,89.5719986,131.545929,166.7809906,28.2057991,63.61249924,117.9492111,113.2440643,193.6199951,30.90242004,112.2133255
11/4/2019,90.23300171,133.7582092,169.6126251,27.68323708,64.48049927,117.077179,114.1479187,194.7200012,30.61263466,107.8650208
11/5/2019,90.08550262,133.2575073,169.4421539,27.85742378,64.5719986,117.2480087,114.3960037,194.3200073,30.16990662,107.7110214
11/6/2019,89.78849792,132.4563446,166.6484375,27.88231087,64.55049896,117.7334671,114.5732422,191.5500031,30.2745533,108.9973831
11/7/2019,89.41000366,133.8401337,168.4667053,27.80765915,65.34700012,118.1559906,115.193512,190.4199982,29.99821854,108.3632507
11/8/2019,89.29399872,134.8871613,168.9118042,27.81387711,65.44999695,119.5674057,115.5302124,190.8399963,30.11200142,108.4357376
11/11/2019,88.58249664,134.7414551,170.2755585,27.38463402,64.91400146,118.6504364,115.1226044,189.6100006,30.01447487,108.100563
11/12/2019,88.90000153,133.2301636,167.0461731,27.57126045,64.86049652,118.0840683,114.4491882,194.4700012,30.04697609,108.0461807
11/13/2019,87.65550232,131.545929,166.3642883,27.68323708,64.80899811,118.012146,113.846611,193.1900024,29.74627304,109.2963333
11/14/2019,87.73000336,130.5899506,165.1426392,27.99245262,65.45749664,117.7334671,113.9529724,193.1499939,29.70562553,109.1604538
11/15/2019,86.97450256,132.29245,165.2373047,28.23706627,66.67700195,121.3114853,114.7770386,195.1000061,30.29893303,109.1966934
11/18/2019,87.62650299,130.7265778,165.6445618,28.4816761,65.99199677,121.2126083,115.7428741,197.3999939,30.25016403,110.4196625
11/19/2019,87.63950348,130.3532715,164.4513092,28.45659256,65.62950134,121.2036209,115.7074432,199.3200073,30.60776901,109.993866
11/20/2019,87.27649689,128.84198,162.9550171,28.45031548,65.09300232,122.2104797,114.8656311,197.5099945,30.11200142,110.7819977
11/21/2019,86.73549652,130.5171509,166.7052307,27.84192657,65.00700378,122.6599884,115.1314774,197.9299927,30.67279434,109.0154953
11/22/2019,87.28600311,130.9905396,166.0896606,27.86701202,64.6835022,124.1253738,115.8935089,198.8200073,31.1523056,108.9702225
11/25/2019,88.69200134,133.3030243,167.2545013,27.70393753,65.28199768,124.1796722,116.5138016,199.7899933,31.43676949,109.1695099
11/26/2019,89.84700012,133.0025482,167.2924347,27.60358047,65.65000153,124.1706238,116.6732864,198.9700012,31.11979866,110.754837
11/27/2019,90.92549896,132.6384277,160.1044312,27.76665878,65.60649872,124.6956635,117.0188828,202,31.39613152,110.3018799
11/29/2019,90.04000092,131.7644196,159.1479797,27.84819412,65.20449829,124.4603119,116.7530365,201.6399994,31.30672455,110.5736542
12/2/2019,89.08000183,130.1529541,156.5341187,27.54086304,64.44300079,124.3426285,116.4960709,199.6999969,31.11979866,111.1715469
12/3/2019,88.4980011,127.5127716,154.838974,27.76038742,64.73699951,124.1615906,114.9985733,198.8200073,30.92474174,111.3798904
12/4/2019,88.03450012,127.5673752,156.5152283,27.93600273,65.9469986,126.1711884,117.266983,198.7100067,30.99788857,112.8111954
12/5/2019,87.02400208,128.414093,155.8617859,28.13671303,66.34799957,126.3341217,117.9049759,199.3600006,30.90848732,112.892746
12/6/2019,87.58000183,129.934494,156.4584045,28.13671303,66.96949768,127.0764084,119.6594696,201.0500031,31.11979866,112.503212
12/9/2019,87.47550201,130.0346222,159.0058746,28.18061638,67.14949799,127.1850204,119.1012192,201.3399963,31.14417648,113.1192169
12/10/2019,86.96050262,130.0710297,160.8999481,28.0489006,67.14450073,126.723381,119.1809845,200.8699951,31.2742157,112.5756683
